AIRCRAFT TYPES	Description	Wake	Body	Number of seats	ULD / Loose
A4	Douglas: A-4 Skyhawk 	M		0	
A1	Douglas: AD-1 / A-1 / EA-1 Skyraider 	M		0	
B23	Douglas: B-23 / UC-67 Dragon 	M		0	
C133	Douglas: C-133 Cargomaster 	M		0	
DC2	Douglas: DC-2 	M		0	
DC3	Douglas: DC-3	M		0	
DC4	Douglas: DC-4 	M		0	
DC6	Douglas: DC-6 	M		0	
DC7	Douglas: DC-7 	M		0	
DC85	Douglas: DC-8-50 	H		0	
DC86	Douglas: DC-8-60 	H		0	
DC87	Douglas: DC-8-70 	H	D	0	
DC91	Douglas: DC-9-10	M		0	
DC92	Douglas: DC-9-20	M		0	
DC93	Douglas: DC-9-30	M		0	
DC94	Douglas: DC-9-40	M		0	
DC95	Douglas: DC-9-50	M		0	
SBD	Douglas: SBD Dauntless 	L		0	
DC3S	Douglas: Super DC-3 	M		0	
EA50	Eclipse: Eclipse 500 	L		0	
OPCA	Edgley / Optica: EA-7 Optica 	L		0	
C365	EKW / K+W: C-3605 	L		0	
P28A	EMBRAER: Carioquinha	L		0	
E110	EMBRAER: EMB 110 Bandeirante	M		0	
E120	EMBRAER: EMB 120 Brasilia	L	B	0	
E121	EMBRAER: EMB-121 Xingu 	L		0	
E135	EMBRAER: EMB-135 / ERJ-135 	M	B	0	
